Date,City,AQI
31-01-2016,Khammam,47
29-02-2016,Khammam,51
31-03-2016,Khammam,54
30-04-2016,Khammam,51
31-05-2016,Khammam,47
30-06-2016,Khammam,47
31-07-2016,Khammam,41
31-08-2016,Khammam,37
30-09-2016,Khammam,39
31-10-2016,Khammam,48
30-11-2016,Khammam,55
31-12-2016,Khammam,60
31-01-2017,Khammam,60
28-02-2017,Khammam,64
31-03-2017,Khammam,54
30-04-2017,Khammam,55
31-05-2017,Khammam,57
30-06-2017,Khammam,42
31-07-2017,Khammam,41
31-08-2017,Khammam,53
30-09-2017,Khammam,50
31-10-2017,Khammam,63
30-11-2017,Khammam,54
31-12-2017,Khammam,60
31-01-2018,Khammam,64
28-02-2018,Khammam,68
31-03-2018,Khammam,71
30-04-2018,Khammam,77
31-05-2018,Khammam,77
30-06-2018,Khammam,83
31-07-2018,Khammam,75
31-08-2018,Khammam,79
30-09-2018,Khammam,84
31-10-2018,Khammam,95
30-11-2018,Khammam,92
31-12-2018,Khammam,88
31-01-2019,Khammam,94
28-02-2019,Khammam,90
31-03-2019,Khammam,91
30-04-2019,Khammam,90
31-05-2019,Khammam,88
30-06-2019,Khammam,81
31-07-2019,Khammam,77
31-08-2019,Khammam,84
30-09-2019,Khammam,78
31-10-2019,Khammam,86
30-11-2019,Khammam,85
31-12-2019,Khammam,84
31-01-2020,Khammam,88
29-02-2020,Khammam,84
31-03-2020,Khammam,83
30-04-2020,Khammam,80
31-05-2020,Khammam,63
30-06-2020,Khammam,48
31-07-2020,Khammam,70
31-08-2020,Khammam,37
30-09-2020,Khammam,52
31-10-2020,Khammam,62
30-11-2020,Khammam,83
31-12-2020,Khammam,95
31-01-2021,Khammam,100
28-02-2021,Khammam,84
31-03-2021,Khammam,68
30-04-2021,Khammam,54
31-05-2021,Khammam,72
30-06-2021,Khammam,88
31-07-2021,Khammam,69
31-08-2021,Khammam,67
30-09-2021,Khammam,85
31-10-2021,Khammam,61
30-11-2021,Khammam,86
31-12-2021,Khammam,78
31-01-2022,Khammam,80
28-02-2022,Khammam,78
31-03-2022,Khammam,77
30-04-2022,Khammam,79
31-05-2022,Khammam,77
30-06-2022,Khammam,81
31-07-2022,Khammam,73
31-08-2022,Khammam,58
30-09-2022,Khammam,42
31-10-2022,Khammam,57
30-11-2022,Khammam,78
31-12-2022,Khammam,115
