Date,City,AQI
31-01-2016,Warangal,75
29-02-2016,Warangal,72
31-03-2016,Warangal,65
30-04-2016,Warangal,74
31-05-2016,Warangal,80
30-06-2016,Warangal,70
31-07-2016,Warangal,60
31-08-2016,Warangal,41
30-09-2016,Warangal,50
31-10-2016,Warangal,61
30-11-2016,Warangal,83
31-12-2016,Warangal,84
31-01-2017,Warangal,75
28-02-2017,Warangal,74
31-03-2017,Warangal,68
30-04-2017,Warangal,73
31-05-2017,Warangal,73
30-06-2017,Warangal,70
31-07-2017,Warangal,62
31-08-2017,Warangal,55
30-09-2017,Warangal,65
31-10-2017,Warangal,56
30-11-2017,Warangal,70
31-12-2017,Warangal,74
31-01-2018,Warangal,117
28-02-2018,Warangal,91
31-03-2018,Warangal,80
30-04-2018,Warangal,82
31-05-2018,Warangal,84
30-06-2018,Warangal,86
31-07-2018,Warangal,73
31-08-2018,Warangal,79
30-09-2018,Warangal,81
31-10-2018,Warangal,86
30-11-2018,Warangal,96
31-12-2018,Warangal,87
31-01-2019,Warangal,91
28-02-2019,Warangal,91
31-03-2019,Warangal,92
30-04-2019,Warangal,94
31-05-2019,Warangal,93
30-06-2019,Warangal,88
31-07-2019,Warangal,89
31-08-2019,Warangal,82
30-09-2019,Warangal,76
31-10-2019,Warangal,91
30-11-2019,Warangal,88
31-12-2019,Warangal,90
31-01-2020,Warangal,92
29-02-2020,Warangal,88
31-03-2020,Warangal,74
30-04-2020,Warangal,41
31-05-2020,Warangal,65
30-06-2020,Warangal,58
31-07-2020,Warangal,67
31-08-2020,Warangal,67
30-09-2020,Warangal,55
31-10-2020,Warangal,61
30-11-2020,Warangal,92
31-12-2020,Warangal,91
31-01-2021,Warangal,81
28-02-2021,Warangal,88
31-03-2021,Warangal,75
30-04-2021,Warangal,71
31-05-2021,Warangal,51
30-06-2021,Warangal,81
31-07-2021,Warangal,86
31-08-2021,Warangal,60
30-09-2021,Warangal,64
31-10-2021,Warangal,64
30-11-2021,Warangal,65
31-12-2021,Warangal,69
31-01-2022,Warangal,73
28-02-2022,Warangal,73
31-03-2022,Warangal,76
30-04-2022,Warangal,66
31-05-2022,Warangal,77
30-06-2022,Warangal,85
31-07-2022,Warangal,47
31-08-2022,Warangal,56
30-09-2022,Warangal,48
31-10-2022,Warangal,64
30-11-2022,Warangal,94
31-12-2022,Warangal,116
